analysis_version,fiction_id,title,author,url,sampled_this_run,latest_metric_run_id,latest_metric_observed_utc,previous_metric_run_id,previous_metric_observed_utc,elapsed_since_previous_hours,followers,previous_followers,follower_delta_since_previous,follower_pct_change_since_previous,followers_per_day_increment,total_views,previous_total_views,view_delta_since_previous,view_pct_change_since_previous,views_per_day_increment,chapter_count,previous_chapter_count,chapter_delta_since_previous,favorites,favorite_delta_since_previous,rating_count,rating_count_delta_since_previous,launch_index,launch_index_confidence,current_rs,current_best_rs_rank
longitudinal-launch-v1,171153,"I Am Weapon [Mage, Litrpg, Academy, Progression]",ZeroXnobody,https://www.royalroad.com/fiction/171153/i-am-weapon-mage-litrpg-academy-progression,True,18,2026-07-17T07:32:45.215113Z,6,2026-07-15T12:06:35Z,43.4362,2710,2404,306,12.7288,169.0757,198256,164913,33343,20.2185,18423.1709,34,32,2,495,65,281,27,91.59,high,True,2
longitudinal-launch-v1,176669,Nuclear Son,Scyzim,https://www.royalroad.com/fiction/176669/nuclear-son,True,18,2026-07-17T07:32:45.215113Z,6,2026-07-15T12:06:35Z,43.4362,2252,1932,320,16.5631,176.8112,148036,119104,28932,24.2914,15985.9395,27,25,2,380,47,177,18,92.97,high,True,1
longitudinal-launch-v1,175996,Noble Arcana,Seersucker,https://www.royalroad.com/fiction/175996/noble-arcana,True,18,2026-07-17T07:32:45.215113Z,6,2026-07-15T12:06:35Z,43.4362,5216,5099,117,2.2946,64.6466,374476,351546,22930,6.5226,12669.6251,30,30,0,895,26,505,19,93.01,high,True,3
longitudinal-launch-v1,171123,I Made A Railgun with Lightning Magic (LitRPG / OP MC / Isekai),Josh Shoniix,https://www.royalroad.com/fiction/171123/i-made-a-railgun-with-lightning-magic-litrpg-op,True,18,2026-07-17T07:32:45.215113Z,6,2026-07-15T12:06:35Z,43.4362,2812,2629,183,6.9608,101.1139,176267,155050,21217,13.684,11723.1328,4,4,0,447,36,230,13,93.4,high,True,3
longitudinal-launch-v1,171710,The Necro-Industrial Revolution [Kingdom Building] (BOOK 1 COMPLETED),DyingBug,https://www.royalroad.com/fiction/171710/the-necro-industrial-revolution-kingdom-building,True,18,2026-07-17T07:32:45.215113Z,6,2026-07-15T12:06:35Z,43.4362,1827,1684,143,8.4917,79.0125,200854,183102,17752,9.6951,9808.5994,57,57,0,311,30,173,20,88.7,high,True,1
longitudinal-launch-v1,174050,The 108,Mecanimus,https://www.royalroad.com/fiction/174050/the-108,True,18,2026-07-17T07:32:45.215113Z,2,2026-07-14T23:21:02Z,56.1953,7033,6966,67,0.9618,28.6145,306045,294427,11618,3.946,4961.8351,21,21,0,1225,15,879,10,94.77,high,False,
longitudinal-launch-v1,170525,The Dungeon of Arceus,Drake19,https://www.royalroad.com/fiction/170525/the-dungeon-of-arceus,True,18,2026-07-17T07:32:45.215113Z,6,2026-07-15T12:06:35Z,43.4362,3772,3569,203,5.6879,112.1646,151165,141225,9940,7.0384,5492.1968,1,1,0,840,34,453,22,94.69,high,True,4
longitudinal-launch-v1,178800,Void Crowne,WolfShine,https://www.royalroad.com/fiction/178800/void-crowne,True,18,2026-07-17T07:32:45.215113Z,6,2026-07-15T12:06:35Z,43.4362,1236,1094,142,12.9799,78.46,43648,33714,9934,29.4655,5488.8816,21,19,2,226,21,100,12,94.32,high,True,6
longitudinal-launch-v1,161230,"My Wife, the Cultivator [Timeloop, Cultivation]",DepressedDaoist,https://www.royalroad.com/fiction/161230/my-wife-the-cultivator-timeloop-cultivation,True,18,2026-07-17T07:32:45.215113Z,7,2026-07-15T18:41:10Z,36.8598,2826,2777,49,1.7645,31.9047,416017,406440,9577,2.3563,6235.7395,62,62,0,438,9,373,4,86.76,high,True,38
longitudinal-launch-v1,169690,Archmage to Druid: The Level 1 Transmigrator [LitRPG Skill Progression] [Book 1 Complete],Robert Wolf,https://www.royalroad.com/fiction/169690/archmage-to-druid-the-level-1-transmigrator-litrpg,True,18,2026-07-17T07:32:45.215113Z,7,2026-07-15T18:41:10Z,36.8598,3959,3915,44,1.1239,28.6491,349414,340364,9050,2.6589,5892.6013,49,49,0,775,17,480,7,91.12,high,True,46
longitudinal-launch-v1,173678,Demon Summoner [LitRPG | Gacha | OP MC],TGreen-,https://www.royalroad.com/fiction/173678/demon-summoner-litrpg-gacha-op-mc,True,18,2026-07-17T07:32:45.215113Z,6,2026-07-15T12:06:35Z,43.4362,1277,1216,61,5.0164,33.7046,115853,107300,8553,7.9711,4725.8309,45,44,1,235,17,123,4,88.53,high,True,1
longitudinal-launch-v1,125307,Fate Unraveling,Rustpen,https://www.royalroad.com/fiction/125307/fate-unraveling,True,18,2026-07-17T07:32:45.215113Z,7,2026-07-15T18:41:10Z,36.8598,1391,1368,23,1.6813,14.9757,199555,191915,7640,3.9809,4974.5275,88,88,0,278,8,151,4,86.36,high,True,33
