analysis_version,fiction_id,title,author,url,sampled_this_run,latest_metric_run_id,latest_metric_observed_utc,previous_metric_run_id,previous_metric_observed_utc,elapsed_since_previous_hours,followers,previous_followers,follower_delta_since_previous,follower_pct_change_since_previous,followers_per_day_increment,total_views,previous_total_views,view_delta_since_previous,view_pct_change_since_previous,views_per_day_increment,chapter_count,previous_chapter_count,chapter_delta_since_previous,favorites,favorite_delta_since_previous,rating_count,rating_count_delta_since_previous,launch_index,launch_index_confidence,current_rs,current_best_rs_rank
longitudinal-launch-v1,176669,Nuclear Son,Scyzim,https://www.royalroad.com/fiction/176669/nuclear-son,True,52,2026-07-20T16:16:28.244980Z,49,2026-07-20T10:22:04.778867Z,5.9065,2735,2692,43,1.5973,174.7222,192569,188455,4114,2.183,16716.4468,29,28,1,464,13,228,6,94.44,high,True,1
longitudinal-launch-v1,171153,"I Am Weapon [Mage, Litrpg, Academy, Progression]",ZeroXnobody,https://www.royalroad.com/fiction/171153/i-am-weapon-mage-litrpg-academy-progression,True,52,2026-07-20T16:16:28.244980Z,49,2026-07-20T10:22:04.778867Z,5.9065,3184,3158,26,0.8233,105.646,248474,245129,3345,1.3646,13591.7634,35,35,0,578,9,326,4,93.81,high,True,2
longitudinal-launch-v1,172098,"How to Survive as a Starter Villainess [LITRPG, OP Archmage (sort of)]",Selethe,https://www.royalroad.com/fiction/172098/how-to-survive-as-a-starter-villainess-litrpg,True,52,2026-07-20T16:16:28.244980Z,49,2026-07-20T10:22:04.778867Z,5.9065,963,878,85,9.6811,345.3811,35093,32448,2645,8.1515,10747.4482,15,15,0,156,8,121,8,94.71,high,True,4
longitudinal-launch-v1,175996,Noble Arcana,Seersucker,https://www.royalroad.com/fiction/175996/noble-arcana,True,52,2026-07-20T16:16:28.244980Z,49,2026-07-20T10:22:04.778867Z,5.9065,5340,5331,9,0.1688,36.5698,408693,406213,2480,0.6105,10077.0024,30,30,0,918,1,528,0,94.38,high,True,4
longitudinal-launch-v1,161230,"My Wife, the Cultivator [Timeloop, Cultivation]",DepressedDaoist,https://www.royalroad.com/fiction/161230/my-wife-the-cultivator-timeloop-cultivation,True,52,2026-07-20T16:16:28.244980Z,49,2026-07-20T10:22:04.778867Z,5.9065,2919,2918,1,0.0343,4.0633,438731,436354,2377,0.5447,9658.4818,64,63,1,458,1,387,4,90.78,high,False,
longitudinal-launch-v1,171710,The Necro-Industrial Revolution [Kingdom Building] (BOOK 1 COMPLETED),DyingBug,https://www.royalroad.com/fiction/171710/the-necro-industrial-revolution-kingdom-building,True,52,2026-07-20T16:16:28.244980Z,49,2026-07-20T10:22:04.778867Z,5.9065,1976,1965,11,0.5598,44.6964,228458,226214,2244,0.992,9118.0619,60,59,1,340,2,190,2,91.77,high,True,1
longitudinal-launch-v1,178800,Void Crowne,WolfShine,https://www.royalroad.com/fiction/178800/void-crowne,True,52,2026-07-20T16:16:28.244980Z,49,2026-07-20T10:22:04.778867Z,5.9065,1534,1505,29,1.9269,117.8359,65292,63367,1925,3.0379,7821.8668,25,24,1,285,3,130,4,95.92,high,True,3
longitudinal-launch-v1,176699,Time-Looping Baby Refuses to Die[Slow-burn Progression LitRPG],Vex Ashford,https://www.royalroad.com/fiction/176699/time-looping-baby-refuses-to-dieslow-burn-progression,True,52,2026-07-20T16:16:28.244980Z,49,2026-07-20T10:22:04.778867Z,5.9065,1054,1030,24,2.3301,97.5194,56908,55057,1851,3.362,7521.1821,26,26,0,174,2,110,3,94.25,high,True,4
longitudinal-launch-v1,169690,Archmage to Druid: The Level 1 Transmigrator [LitRPG Skill Progression] [Book 1 Complete],Robert Wolf,https://www.royalroad.com/fiction/169690/archmage-to-druid-the-level-1-transmigrator-litrpg,True,52,2026-07-20T16:16:28.244980Z,49,2026-07-20T10:22:04.778867Z,5.9065,4060,4057,3,0.0739,12.1899,372961,371112,1849,0.4982,7513.0555,51,50,1,803,1,493,1,93.22,high,False,
longitudinal-launch-v1,173313,Headless Over Heels [A Dark Fantasy Romance][Book 1 complete],Dukerino,https://www.royalroad.com/fiction/173313/headless-over-heels-a-dark-fantasy-romancebook,True,52,2026-07-20T16:16:28.244980Z,49,2026-07-20T10:22:04.778867Z,5.9065,2801,2795,6,0.2147,24.3798,222114,220320,1794,0.8143,7289.5735,43,42,1,774,1,515,1,93.37,high,False,
